bins,Time,lon,pdens,adens,pvel,avel,Ahe,vap,B,radius,BrR2,mag,edens,ed,Br,Bt,Bn,vr,vt,vn,vA,MA
101,2022-02-25 08:30:17.000000000,101.49630041928928,8.191054602654724,0.10340431924408308,299.8470325380334,407.91621158874455,0.012653023280789766,108.06917905071118,599.9826635885609,0.06454793293709067,-2.296793456521508,-2.296793456521508,6.856150593456958,1645.4259113130536,-551.2332964765891,-166.64058644527034,-42.633780219974476,299.8470325380334,-91.35379572595919,-14.511719391345084,335.279239178202,0.8955164681209746
102,2022-02-25 08:52:27.000000000,102.49456224345515,6.971577572836665,0.09342838686419357,286.39616147804577,388.93609776376,0.013531899682292662,102.53993628571429,616.036401655628,0.06427220380754606,-2.403129896668581,-2.403129896668581,6.641090313340403,1607.618763656633,-581.7684853767003,36.2023886910219,-64.21959849041194,286.39616147804577,-11.661216599904764,-28.371705468497215,348.24814180389393,0.8228126148555561
103,2022-02-25 09:14:37.000000000,103.50431508525907,7.017419012391922,0.09439942589305392,306.35703621892395,410.71372302906616,0.013691748711327383,104.35668681014224,606.4476171328721,0.06400966644633128,-2.33435721666427,-2.33435721666427,7.191641991762116,1755.4535358310618,-569.7086446686884,37.16176132260595,123.6837583921733,306.35703621892395,-18.943852946866418,56.01305184058998,329.01016858885333,0.937745145711067
104,2022-02-25 09:36:16.124999936,104.5012593099267,7.005824720962431,0.10773349528650202,297.0379382528409,392.0382134828193,0.015667384953551487,95.00027522997836,600.3138408091551,0.06376618124870391,-2.3238768161569348,-2.3238768161569348,7.789804863545847,1915.582056394764,-571.5289503468935,133.715919161045,27.02256493329266,297.0379382528409,13.801690654251217,4.5099075544263405,311.6375060807238,0.9575371701987193
105,2022-02-25 09:57:41.000000000,105.49726075209092,7.218799288015499,0.11117284366938121,284.82037466810965,372.6449871638462,0.015406094239381673,87.82461249573659,608.1823466474592,0.06353812168272897,-2.349121575134645,-2.349121575134645,7.589546296166373,1879.8222482218666,-581.895736036325,160.30204205393824,-11.530133064935075,284.82037466810965,23.838440033892166,-9.446172251575364,318.2296368555595,0.8965634579908692
106,2022-02-25 10:18:54.000000000,106.49362991953006,7.900412513848551,0.11954449224450343,268.7249100477464,339.8533099694423,0.015024693222995116,71.12839992169594,628.4966492892596,0.06332500646849436,-2.4162656624079926,-2.4162656624079926,7.717368724442617,1924.2675280374863,-602.5680931906322,141.8785734862106,-47.20743558385084,268.7249100477464,27.036196539676595,-12.138853767344155,326.11620689789396,0.8267668343635821
107,2022-02-25 10:40:07.000000000,107.4989727207309,10.552814651647491,0.1971863361574056,229.66558453036862,284.4213474163715,0.01741613865537245,54.755762886002884,623.1563802663871,0.06312470578066633,-2.439750704344044,-2.439750704344044,8.667699355599003,2175.790638603133,-612.2618553751487,14.747560881065336,-6.457945664926187,229.66558453036862,-8.534030645991932,4.019184369796012,310.32109310577914,0.7468413025605745
108,2022-02-25 11:01:01.000000000,108.49771958937603,11.236663346893573,0.1494105530129859,221.21149596090777,254.7061794083694,0.01219532478170424,34.02731240325331,632.7889576818212,0.06294018558924948,-2.421299133535414,-2.421299133535414,9.013686149953603,2275.6578776303113,-611.209242388153,98.17384345062385,0.7000420659910792,221.21149596090777,12.257291483627835,2.6759378920962877,315.36246151726493,0.7251921013217029
109,2022-02-25 11:21:55.000000000,109.50444134523624,11.570522808118039,0.24187918422693244,272.16949820346326,362.6477597947003,0.021331639942121273,90.48166872622328,600.891833099502,0.0627684843195346,-2.1153408515503638,-2.1153408515503638,9.676046930212674,2455.6903625823966,-536.8764578227107,-10.799591911996554,-18.024312271108663,272.16949820346326,-27.45615211819172,-7.3042431199901605,275.6273989346892,0.9889472917896205
110,2022-02-25 11:42:30.000000000,110.50317375989228,10.210261305438422,0.25361757128609996,277.2947796360931,376.3299960781926,0.02609683312099972,99.03521644209957,587.0523659118684,0.06261202892374856,-2.143969639958428,-2.143969639958428,9.378522535047509,2392.3719832305537,-546.853122771452,52.830363228874006,3.580122859565271,277.2947796360931,-5.538051894129194,-3.4918843817238905,271.9812012949566,1.0205852721643836
111,2022-02-25 12:02:46.000000000,111.49321386632614,11.217249694458218,0.25661515131778145,267.92593464623917,336.6519221232413,0.0230597580668513,68.72598747700216,606.848888880608,0.062470434194720266,-2.2355852447167126,-2.2355852447167126,9.234387656226769,2366.142197912603,-572.90293252047,-58.08446757398421,-54.732389312259905,267.92593464623917,-32.52302884051055,-20.572972413532128,282.8653576072058,0.9517715890493531
112,2022-02-25 12:23:02.000000000,112.48949465957045,12.099760723686984,0.16591864622477517,266.5300976332522,311.5498405384199,0.014337631654734395,45.050376655167746,555.1873520825527,0.062341279133348006,-1.7771099408395614,-1.7771099408395614,10.095153551004763,2598.0558960205244,-457.02090477140854,73.97854050766061,-31.819385062145813,266.5300976332522,10.451530046401516,-21.798501536893532,255.87162947064022,1.3039990130273227
113,2022-02-25 12:43:18.000000000,113.4915949483804,8.601270609274097,0.1573706502716826,279.43974550257036,391.43727675189393,0.018934840667425134,111.9975312493236,612.8953836935617,0.06222467941702882,2.3149886013251293,2.3149886013251293,7.1135042981905965,1836.9331834977802,597.954572065104,-31.25971913595571,28.127629319016034,279.43974550257036,8.653844150268533,3.0925089513421806,331.6510593274407,0.9558566412387909
114,2022-02-25 13:03:34.000000000,114.49894415883959,7.113914941833675,0.12219995593069276,248.94625208536254,340.0666022774621,0.017169371365934275,91.12035019209956,672.8965282486525,0.06212072821888759,2.5568521881763293,2.5568521881763293,5.647987163606028,1463.5856897979088,662.5722166844915,56.121054511081,44.35360810650832,248.94625208536254,-18.39811237227584,-13.176672735630412,398.5192675222108,0.6248124103651697
115,2022-02-25 13:23:31.000000000,115.49519366918288,5.479259448785937,0.08478190687230648,249.12231395615137,341.17310616883117,0.015540005392604927,92.0507922126798,668.195343426179,0.06203080998691935,2.547302418256825,2.547302418256825,4.863900813464384,1263.9833224980714,662.0093261358585,-23.900785704255583,-20.60278578425682,249.12231395615137,18.008134746069683,20.35893918703607,427.03053007034794,0.5827587642292562
116,2022-02-25 13:43:28.000000000,116.49570204486825,4.885888622527628,0.06788389587123739,274.6030053733766,384.5940252773268,0.014123044047048765,109.99101990395022,674.4593384744265,0.06195337935442418,2.5391783057768813,2.5391783057768813,4.376879740029812,1140.3515957463214,661.548861786395,-20.378099933141666,30.98653432100558,274.6030053733766,3.835453709242018,-10.592245804021916,452.63983845545744,0.6067258183869475
117,2022-02-25 14:03:25.000000000,117.49994952305826,4.975642611012605,0.0719617014069268,289.1388935030024,419.85468144812177,0.014572934510471489,130.7157879451194,662.9805714570139,0.0618883651556587,2.46810876372179,2.46810876372179,4.445274600398086,1160.593559094335,644.3852796515181,41.175316439196514,44.53588864484742,289.1388935030024,-29.2538942751844,-19.912513563501328,440.9118713526968,0.6563789992526934
