,lon,br_ind,part_ind,his_ind,br,vsw,npp,na,tp,ta,perp,para,oxy,car,feo
166,86.38,450,1305.0,795.0,-2.424408889339197,480.00653,0.4873383868790743,0.0114039731551807,48.564648,548.79584,14.5104600890256,2.0474524638763683,0.18294488,5.128382,0.20944865
167,86.12,451,1306.0,796.0,-2.4049197916182825,466.2245,0.3188652202547222,0.01690464358211,46.35663,1008.5244,10.96186969609795,53.500863900836315,0.15167837,5.738469,0.21074781
168,87.62,452,1307.0,797.0,-2.482631122438086,466.56296,0.2155819964083189,0.002872792133725,40.871334,1231.5582,3.3046782812860322,75.22361625979808,0.19717908,4.527147,0.21536356
169,87.0,453,1308.0,798.0,-2.532739378083479,476.95224,0.3305043843543794,0.0119832107542408,56.80138,707.2127,5.749506612950394,40.39804337811278,0.14210337,3.0281901,0.21368095
170,90.63,454,1474.0,799.0,-2.500019210913359,471.36786,0.2327042667480091,0.0105590998787777,57.32784,443.13535,2.9329185748463966,20.24870275820412,0.16812426,4.474199,0.18409841
171,91.5,455,1475.0,800.0,-2.5178576109154296,474.11453,0.2349340199453579,0.014935031599852,79.702736,1312.2787,9.10719124608314,22.361678347340103,0.15242878,3.6096003,0.21713205
172,92.12,456,1476.0,801.0,-2.543134867859832,491.38782,0.256461411613052,0.0222856777859989,63.85797,800.5188,20.680247111981604,3.2157106619641076,0.16787359,3.597167,0.21146737
173,93.63,457,1477.0,802.0,-2.577750584466211,473.49167,0.3329633937405059,0.0137403602349479,94.783325,678.7686,6.049893273840644,8.141810580583124,0.14276531,3.3263185,0.22174117
174,94.88,458,1478.0,803.0,-2.543754216153012,472.30023,0.1900619855595477,0.0139805267915608,100.23879,445.14737,3.6592952871285425,5.510245434019728,0.19392215,3.9416718,0.19428788
175,94.25,459,1479.0,804.0,-2.531814289195857,479.75092,0.3593305028732011,0.022795425395777,65.63464,517.42633,6.361709407626489,9.527914902179816,0.17504686,3.7733858,0.2348971
176,95.5,460,1480.0,805.0,-2.5203757371110824,487.37054,0.3572886097340703,0.0149900678251756,63.80454,598.6501,7.15356265077282,11.320814038334056,0.21160306,3.5532308,0.21452834
177,96.75,461,1481.0,806.0,-2.5020825229977524,481.65637,0.3718605097912856,0.0105581671413981,65.36014,345.7419,5.471654664807473,5.141726327202805,0.16740522,4.915134,0.21944296
178,96.12,462,1482.0,807.0,-2.5208357260445133,475.00018,0.2755872695862826,0.0098705996235836,58.789303,606.90375,9.238120886980624,11.168149227526389,0.16219655,3.8047357,0.22083235
179,97.37,463,1483.0,808.0,-2.51816156705877,478.60992,0.2965987337832491,0.0162682904489325,68.93036,914.20087,14.157738777578773,9.363501499219117,0.16551474,4.911136,0.21932308
