bins,Time,timestamps,lon,oxy,car,iron
146,2022-02-26 17:12:33.236545536,1645895553.2365456,146.46194542743885,0.04131796445454545,0.5920464909090909,0.1286928872727273
147,2022-02-26 15:22:33.229454592,1645888953.2294543,147.46505419745478,0.05706340554545455,0.8704031972727274,0.1364313540909091
148,2022-02-26 13:32:33.223272704,1645882353.2232728,148.46853216644024,0.04619748681818182,1.8553813418181817,0.08437320263636364
149,2022-02-26 11:42:33.217272832,1645875753.2172728,149.47237686777828,0.04430220381818182,2.5496460454545455,0.05445177781818182
150,2022-02-26 09:52:33.211727360,1645869153.2117271,150.47658570161664,0.04741659272727273,2.4003685,0.06999657127272728
151,2022-02-26 08:02:33.206454528,1645862553.2064545,151.48115615578993,0.042763388454545456,1.7094568272727273,0.09995057227272727
152,2022-02-26 06:12:33.201727232,1645855953.2017274,152.4860856674056,0.04069968209090909,1.5729557545454547,0.10775143036363635
153,2022-02-26 04:21:10.672363776,1645849270.6723635,153.5039449132784,0.05205092890909091,2.349333718181818,0.09835452281818181
154,2022-02-26 02:30:01.898909184,1645842601.898909,154.5200687651159,0.05654208709090909,2.4217572181818183,0.084081411
155,2022-02-26 00:40:18.228945408,1645836018.2289453,155.5235781593977,0.05376378372727273,2.4784805545454542,0.09469962509090908
156,2022-02-25 22:53:01.561463808,1645829581.5614638,156.5050175277148,0.05666051854545455,2.3138195,0.10901918536363636
157,2022-02-25 21:03:01.555491072,1645822981.555491,157.51170426121084,0.054156045,2.5401086636363637,0.1090326829090909
158,2022-02-25 19:13:00.778972928,1645816380.7789729,158.5188529943049,0.055306194181818175,2.6944251727272728,0.10433260681818181
159,2022-02-25 17:23:00.333354752,1645809780.3333547,159.52629328387613,0.07675823918181818,2.7386786181818183,0.095398031
160,2022-02-25 15:33:00.327936256,1645803180.3279364,160.5340060298461,0.06403196809090908,2.020302590909091,0.11664017045454544
161,2022-02-25 13:48:00.322980096,1645796880.32298,161.496225846285,0.0618676106,1.8006849299999999,0.134795244
162,2022-02-25 12:03:00.318281728,1645790580.3182817,162.45875572985236,0.07462577663636363,2.6068556727272725,0.10188413372727273
163,2022-02-25 10:13:00.313518336,1645783980.3135183,163.46744301220264,0.09488372854545454,2.8957391363636362,0.10050020090909091
164,2022-02-25 08:23:00.309154560,1645777380.3091545,164.47646072353953,0.08602664127272727,2.9290537999999997,0.112736019
165,2022-02-25 06:33:00.305018112,1645770780.3050184,165.4858065942185,0.08496817054545454,2.998539054545454,0.1343540981818182
166,2022-02-25 04:42:05.323309056,1645764125.3233092,166.5038911143032,0.0857289590909091,2.574720981818182,0.1250189190909091
167,2022-02-25 02:50:29.109818112,1645757429.1098182,167.5286136526153,0.24644253090909088,3.6970989363636364,0.17255279454545455
168,2022-02-25 01:00:29.107200000,1645750829.1072,168.53893759783818,,,
169,2022-02-24 23:12:45.621509120,1645744365.6215093,169.52867263716152,0.31133617428571425,5.267764857142857,0.10224738314285715
170,2022-02-24 21:22:59.275545600,1645737779.2755456,170.5375341927351,0.3015888645454545,6.995712027272727,0.1404612790909091
171,2022-02-24 19:37:58.690099968,1645731478.6901002,171.50291531793903,0.24847158600000002,7.823554059999999,0.11634670250000001
172,2022-02-24 17:52:57.811636480,1645725177.8116364,172.46863081555802,0.17374818272727272,3.927841127272727,0.16677829145454545
173,2022-02-24 16:02:57.815181824,1645718577.8151817,173.48049234502002,0.13335095500000002,2.668988663636364,0.16852948727272726
174,2022-02-24 14:12:57.818908928,1645711977.818909,174.49266229773684,0.16370956181818183,2.938317936363637,0.2247686718181818
175,2022-02-24 12:22:57.822272768,1645705377.8222725,175.50513861934357,0.2125952511111111,2.696514666666667,0.16201119711111112
176,2022-02-24 10:32:57.826636288,1645698777.8266363,176.51791897783326,0.211996005,4.68934365,0.25479059400000004
177,2022-02-24 08:42:57.831363584,1645692177.8313637,177.53100136312344,0.18027297454545455,4.727441427272727,0.2148673590909091
178,2022-02-24 06:57:57.835099904,1645685877.8351,178.49831238869595,0.18002506899999998,4.38639936,0.199979709
179,2022-02-24 05:12:44.119454720,1645679564.1194544,179.46800692644834,0.20688619,4.608108281818182,0.21927750363636364
180,2022-02-24 03:20:26.922727168,1645672826.9227273,180.5030378134455,0.21644822181818182,4.5315361727272725,0.19104964000000002
181,2022-02-24 01:30:26.928181760,1645666226.9281816,181.51728771331952,0.1969086081818182,4.91767109090909,0.17142125
182,2022-02-23 23:42:02.387181824,1645659722.3871818,182.51715371858867,0.1898097990909091,4.446298227272727,0.19020125181818182
183,2022-02-23 21:52:56.937454592,1645653176.9374545,183.52359387956264,0.1731012590909091,4.454449427272727,0.21177128636363635
184,2022-02-23 20:07:56.810799872,1645646876.8108,184.49257742502454,0.170272483,3.95693793,0.21179446400000002
185,2022-02-23 18:22:55.628727296,1645640575.6287272,185.46198811769227,0.1762976681818182,5.085271609090909,0.19666643272727272
186,2022-02-23 16:32:55.634272512,1645633975.6342726,186.47764536222724,0.17778163854545453,4.614755281818182,0.19575905545454544
187,2022-02-23 14:42:55.640999936,1645627375.6409998,187.49358459255544,0.21928902909090908,5.842307654545454,0.17376874272727275
188,2022-02-23 12:52:55.647545600,1645620775.6475456,188.5098040671257,0.1903354463636364,5.715314081818182,0.15185537454545453
189,2022-02-23 11:02:55.654272768,1645614175.6542726,189.5263017923221,0.15839835945454547,5.793013372727272,0.12681242690909092
190,2022-02-23 09:17:55.660899840,1645607875.6609,190.49685088335673,0.122659879,5.46342013,0.124820376
191,2022-02-23 07:32:55.667818240,1645601575.6678183,191.46765404056023,0.11959782527272728,4.624124136363637,0.12022834863636364
192,2022-02-23 05:42:55.674818304,1645594975.6748183,192.4849503708414,0.103136073,3.209048063636364,0.14213065318181817
193,2022-02-23 03:50:51.761636352,1645588251.7616363,193.52162622626727,0.10135984363636363,2.502280027272727,0.16196966999999998
194,2022-02-23 02:05:24.231800064,1645581924.2318,194.497440820061,0.10763033200000001,2.62750864,0.136015094
195,2022-02-23 00:21:05.148272640,1645575665.1482728,195.46294511216044,0.07394830327272728,1.9563800545454546,0.16295257272727273
196,2022-02-22 22:32:54.247363584,1645569174.2473638,196.4644600179755,0.06479672318181819,2.025220709090909,0.15916552272727272
197,2022-02-22 20:42:54.256363776,1645562574.2563636,197.48306781129574,0.0519555574,1.8257012400000001,0.162752829
198,2022-02-22 18:52:54.265818112,1645555974.265818,198.50193730537137,0.047534479909090904,1.7181764727272728,0.13115176854545454
199,2022-02-22 17:02:54.038454528,1645549374.0384545,199.52110333867094,0.0467009665,1.8402567600000002,0.1258562621
