bins,Time,timestamps,lon,BrR2,Br,Bn,Bt,B
123,2022-02-28 11:21:31.671433216,1646047291.671433,123.50789401194544,2.3374457646376596,6.880977005660378,-2.6426871564150947,1.975113608490566,8.963419782363886
124,2022-02-28 09:31:06.731604224,1646040666.7316043,124.5055107649355,2.6552534524793177,7.791695316981133,3.8631542879245284,-3.274733300660377,9.765480823382708
125,2022-02-28 07:40:41.792679168,1646034041.7926793,125.50356476306519,2.2089414136806487,6.4615903278867926,-1.939712828773585,-4.684426866792453,9.312251827244255
126,2022-02-28 05:50:16.853659904,1646027416.8536599,126.50205307122192,2.556278240974463,7.453745796226414,0.4661674437735849,1.4384112260943398,8.939490278295812
127,2022-02-28 03:59:51.914508288,1646020791.9145083,127.5009726323924,3.110231459169029,9.040823724528302,1.979138038264151,1.693696478735849,9.966658169724116
128,2022-02-28 02:09:26.975620864,1646014166.9756207,128.5003203467584,2.8173309333099326,8.16394926981132,2.384334952754717,3.9672503824528302,10.148973832812008
129,2022-02-28 00:19:02.037243648,1646007542.0372436,129.50009315937697,2.811113822539809,8.120612253962264,-1.0017417054716982,0.8302846227169811,9.50789908731727
130,2022-02-27 22:28:37.099017728,1646000917.0990176,130.5002881288362,2.7190762540561524,7.829697235849056,-1.7764627760377358,-0.7651789991320754,8.952172968990208
131,2022-02-27 20:38:12.160885248,1645994292.1608853,131.50090229049835,3.372484042170783,9.680317613207547,-3.7696537037735847,-0.5157211149622641,10.62996459484836
132,2022-02-27 18:47:47.222753280,1645987667.2227533,132.5019327068105,2.5525826453621896,7.305152875471698,-7.693250918867925,0.9505497926415094,11.052696677137297
133,2022-02-27 16:57:22.284696320,1645981042.2846966,133.5033764367458,2.180372902913282,6.218825953584905,-7.533883496226415,3.0363383149056604,11.075166416446784
134,2022-02-27 15:06:57.346696960,1645974417.3466969,134.50523057465517,2.3925152709002493,6.803085896981132,-4.517981463207547,0.34680738150943397,10.892248053546085
135,2022-02-27 13:16:32.408829184,1645967792.408829,135.50749222243127,3.047868530731707,8.641339232075472,-2.09945833754717,0.8767871511320754,10.038899743463066
136,2022-02-27 11:27:09.970557440,1645961229.9705577,136.50069688276565,2.9320193743269267,8.287174488461538,-1.2698130096153846,3.6153026053846156,10.59247511431269
137,2022-02-27 09:37:47.532358400,1645954667.5323584,137.49429708382323,3.2239880808537467,9.084352637735849,0.8729110032075471,3.943231426792453,10.807516467997548
138,2022-02-27 07:47:22.594717184,1645948042.5947173,138.49775667444453,3.010881310056453,8.45885473773585,0.9124316645283019,2.9925861196226413,10.660774871415324
139,2022-02-27 05:56:57.657208832,1645941417.6572087,139.5016124904781,2.8813427502461177,8.068441013207547,2.57872562754717,2.5763237983018867,10.617100216546746
