Time,timestamps,lon,BrR2,Br,Bn,Bt,B
2022-02-20 09:00:00,1645353022.8302178,229.95108589219652,2.8048908741078353,6.156962096091954,1.9686086801149425,-0.23554414574712645,8.749543339154918
2022-02-20 12:00:00,1645363835.211988,228.27020544824134,2.3626328798794356,5.203600258139535,0.6790519078488372,-5.320823039534884,8.588693326278223
2022-02-20 15:00:00,1645374585.0948951,226.59960683994998,-1.2177740210919061,-2.6916023523255816,0.4318648110348837,-6.7457525651162795,8.139989108226917
2022-02-20 18:00:00,1645385397.4767234,224.91987113756488,2.6363048189455007,5.858072650574712,0.6210426811149425,-3.5870243868275864,7.618132538791242
2022-02-20 21:00:00,1645396209.8558831,223.2407180328519,1.3368022215314088,2.976156751627907,-0.42226280995348836,-4.480253497616279,8.245955959223444
2022-02-21 00:00:00,1645407022.2335055,221.56215627257134,0.8821749252854105,1.983351012988506,-0.9853880255172414,-4.740561885287356,10.097934661903198
2022-02-21 03:00:00,1645417834.6114292,219.88419002186993,3.5654543088800255,8.017977140697674,-0.6940623902906976,-2.519973617662791,9.46394403146714
2022-02-21 06:00:00,1645428584.490325,218.21652181185647,3.8570838728082535,8.709392790697676,-2.761276966511628,-2.012336519848837,9.840838650061322
2022-02-21 09:00:00,1645439396.8695862,216.53976690409036,3.388452888564315,7.681393383448276,-4.659134185287356,0.8463486847126436,10.115540966599204
2022-02-21 12:00:00,1645450209.2521973,214.8636276252194,2.975820951494041,6.7717226232558145,1.7022541139069767,-2.3810814791860464,11.369963509402389
2022-02-21 15:00:00,1645461021.6374593,213.18811352353734,3.2941652993762442,7.535157603448275,6.6916184470114946,-2.417577854597701,15.621676096938456
2022-02-21 18:00:00,1645471834.0242202,211.51322948501573,5.171824871193133,11.871805726744187,-3.5142889547674416,-2.357030981860465,14.054023274069923
2022-02-21 21:00:00,1645482583.9127204,209.84866047317752,4.293080174290544,9.8961978,-0.25749719127906984,-0.7987006283720929,12.064903269359881
2022-02-22 00:00:00,1645493396.3014476,208.17505834378846,3.4063469756097313,7.884693594827587,-3.5567188081609196,0.493614337816092,11.048056277900846
2022-02-22 03:00:00,1645504208.6908133,206.50210819837324,2.836324167225295,6.59470871744186,-4.772024689941861,3.424012026627907,10.88857751077402
2022-02-22 06:00:00,1645515021.0806894,204.8298200461515,,,,,
2022-02-22 09:00:00,1645525833.470999,203.15819888104096,,,,,
2022-02-22 12:00:00,1645536583.3623369,201.4969109521303,,,,,
2022-02-22 15:00:00,1645547395.7536316,199.82664663033813,,,,,
2022-02-22 18:00:00,1645558208.1456275,198.15707231729542,,,,,
2022-02-22 21:00:00,1645569020.5383556,196.48819858358573,,,,,
2022-02-23 00:00:00,,,,,,,
2022-02-23 03:00:00,,,,,,,
2022-02-23 06:00:00,,,,,,,
2022-02-23 09:00:00,,,,,,,
2022-02-23 12:00:00,,,,,,,
2022-02-23 15:00:00,,,,,,,
2022-02-23 18:00:00,,,,,,,
2022-02-23 21:00:00,,,,,,,
2022-02-24 00:00:00,1645666232.8233948,181.51640183968382,,,,,
2022-02-24 03:00:00,1645676982.716046,179.86457007168252,,,,,
2022-02-24 06:00:00,1645687795.108126,178.20392547573073,,,,,
2022-02-24 09:00:00,1645698607.5002208,176.54408075883578,,,,,
2022-02-24 12:00:00,1645709419.8924365,174.8850481891394,,,,,
2022-02-24 15:00:00,1645720232.2849417,173.2268338855878,,,,,
2022-02-24 18:00:00,1645730982.1783018,171.57902747690014,,,,,
2022-02-24 21:00:00,1645741794.5713558,169.92247789985572,4.255348696602677,10.904120568965517,-2.458911131724138,-4.891656245977011,12.3458855361008
2022-02-25 00:00:00,1645752606.964918,168.26677496731077,3.558776617281622,9.161443531976744,-4.083449052790698,-7.15314904639535,14.234921031812735
2022-02-25 03:00:00,1645763419.3589194,166.61193171053975,0.20890819595565213,0.5378151690804599,-0.9814530675862069,-4.27514638616092,15.427756477544847
2022-02-25 06:00:00,1645774231.7533605,164.9579546521735,1.210903004892277,3.1503894197674414,1.3000926161627908,2.9164235982558138,12.407698415928149
2022-02-25 09:00:00,1645784981.6487086,163.3144092274174,2.7945472187806857,7.295153922209303,-0.02981875802325581,-4.096982407872093,12.411852871153995
