,times,lon,lat,rAU,sslon,sslat,ssrad,flon,flat,frad
284,2022-02-23 22:00:00,139.24621948531347,-3.6869169939463893,0.6364142476141937,185.95316985367256,-3.68691699394638,0.009300934521924313,189.29691501038752,-12.35761707068646,0.004659154082879974
285,2022-02-23 22:30:00,138.98622403869197,-3.6883277779845005,0.6361768533387464,187.08567092322988,-3.6883277779844983,0.009300934521924315,189.6037752282866,-12.404418574881559,0.004657279852232203
286,2022-02-23 23:00:00,138.72625523152035,-3.6897381993232696,0.6359393859530884,186.5228280010209,-3.689738199323266,0.009300934521924313,189.45069104587,-12.38634339767205,0.004657864846891061
287,2022-02-23 23:30:00,138.4663131018978,-3.6911482557445328,0.6357018454938592,185.61992056588778,-3.691148255744528,0.009300934521924313,189.20662461871038,-12.339819201550975,0.004660093966737929
288,2022-02-24 00:00:00,138.20639768801388,-3.692557945022313,0.6354642319979045,185.12078026268279,-3.692557945022315,0.009300934521924311,189.07206171765574,-12.305566729300887,0.004661996085359991
289,2022-02-24 00:30:00,137.94650902806058,-3.6939672649231334,0.6352265455021772,185.91354642852414,-3.693967264923127,0.009300934521924315,189.2858549924492,-12.358745255531147,0.004659140261454224
290,2022-02-24 01:00:00,137.6866471603832,-3.695376213205788,0.6349887860437968,185.03625676045266,-3.69537621320578,0.009300934521924315,189.04952282581937,-12.3003912661772,0.004662324266739301
291,2022-02-24 01:30:00,137.42681212331087,-3.6967847876214477,0.6347509536600289,184.88716995662915,-3.696784787621444,0.009300934521924313,189.01041880269767,-12.289098988215708,0.004663001242986211
292,2022-02-24 02:00:00,137.16700395532104,-3.6981929859132023,0.6345130483883391,184.38873299612027,-3.698192985913196,0.009300934521924313,188.9048391493403,-12.243284856987692,0.004665546349251911
293,2022-02-24 02:30:00,136.90722269489444,-3.6996008058166834,0.634275070266306,185.8330181209167,-3.6996008058166745,0.009300934521924313,189.26384322526673,-12.356806551821817,0.004659273338953309
294,2022-02-24 03:00:00,136.6474683806071,-3.701008245059589,0.6340370193316801,185.8813746503503,-3.7010082450595876,0.009300934521924315,189.27682918150808,-12.360260171523894,0.0046591084349104596
