Time,lon,pdens,adens,pvel,avel,Ahe,vap,B,radius,BrR2,mag,edens,ed,Br,Bt,Bn,vr,vt,vn,vA,MA,use_dens,sigmac,sigmar
2022-02-24 09:20:00,64.2350816889479,14.79118115033655,0.11974071810318501,253.96782185550083,305.89309123525896,0.00853825923188949,51.96729345499328,228.83471280780975,0.09751402488885305,-1.749908458162865,-1.749908458162865,12.283555168910894,1291.7730781151777,-184.0012613933639,19.33159952109626,12.468894487840466,253.96782185550083,-18.925003170285862,9.591238322490296,144.24990094290297,1.7610107225518268,1291.7730781151777,0.8654099762960553,-0.37039171552911015
2022-02-24 09:40:00,64.49183266381574,15.382587665912972,0.11952014506945591,262.1772715315719,315.60137381698763,0.008037189228094401,53.51060867741454,229.61572539745328,0.0969099839005949,-1.5864302788737559,-1.5864302788737559,12.385962362526104,1318.7769201977326,-168.93864885849894,17.432925951509624,-64.20816477644586,262.1772715315719,-18.463965075527916,-28.7585346843708,143.25016087006975,1.8307025138010522,1318.7769201977326,0.9312478999577762,-0.2601883256927397
2022-02-24 10:00:00,64.71822657859019,17.04094603804812,0.12471027870416462,268.0399776136364,321.2388486525974,0.007367377285462198,53.198871038961045,235.08760479921045,0.0963900496908378,-1.4106700948166806,-1.4106700948166806,12.259038816562049,1319.4641444008091,-151.7933504168896,-53.82677961992635,-118.68478532698093,268.0399776136364,-48.09889228183144,-52.070183877525245,146.62314258421895,1.8276761077544201,1319.4641444008091,0.9641526216447468,-0.23926880567726752
2022-02-24 10:20:00,65.0118883546587,15.166938057092059,0.11498187183269445,241.84238854369588,300.06550157602817,0.007764207232496993,58.22311303233225,238.0802711211257,0.09573321293730845,-1.9124739268315019,-1.9124739268315019,12.01829791714497,1311.4167533949328,-208.68853279401284,9.575810297866047,44.36215091797005,241.84238854369588,-18.55946449495145,25.69233620775636,148.95931418103265,1.6238667433174214,1311.4167533949328,0.9416201603716986,-0.2878801533222927
2022-02-24 10:40:00,65.27957533491454,14.807080662697127,0.11649976618844891,246.231490252758,301.1378878829772,0.008163602931200276,54.906397630219246,240.72017357953922,0.09515027991984525,-1.848979542978136,-1.848979542978136,12.201813728764634,1347.789405615151,-204.27194117976043,46.80494101060612,-41.26749463667539,246.231490252758,-4.956371269289555,-15.363447077608994,148.56266226904194,1.6583156761183364,1347.789405615151,0.8960283406001395,-0.3666344529652821
2022-02-24 11:00:00,65.55362237614877,15.39107900840712,0.11718851258374363,264.1148301007846,309.0748146185065,0.007769305480234687,44.97966554044913,250.14857992852427,0.09456860822322821,-1.4018488777368083,-1.4018488777368083,12.919733471908998,1444.6458295465777,-156.70229061306537,45.14386491958236,-106.7436386614428,264.1148301007846,-4.2677457412762445,-38.039759341892314,149.10486375112802,1.7705692838978206,1444.6458295465777,0.927469654672441,-0.3092663747560139
2022-02-24 11:20:00,65.83374675439471,14.109395440143299,0.11721437769551739,252.40996597546896,298.0674381991342,0.008544472398719919,45.65747222366522,256.1528797719199,0.09398885447289337,-1.669274363972329,-1.669274363972329,13.052326128342466,1477.6429701235459,-188.83688987033966,91.3347472683373,-82.07257236115356,252.40996597546896,12.373507296142858,-30.23843275628997,150.96978480266435,1.6713211137293844,1477.6429701235459,0.9189884371838976,-0.29084630788406163
2022-02-24 11:40:00,66.12099269779546,17.391269492542193,0.13723173304493763,254.3311523031656,308.3051923268398,0.007951807508729059,54.04102713406385,248.9950439691715,0.09340928723402826,-1.708702791729926,-1.708702791729926,13.048035487037279,1495.3852165147175,-195.82373116449943,14.233037411069091,-94.09146228034533,254.3311523031656,-14.381062886032637,-30.930598039792343,145.88144524527848,1.7472915810639749,1495.3852165147175,0.9170552197545645,-0.25769273793527936
2022-02-24 12:00:00,66.41929507837672,15.459396496474783,0.10872863446914459,263.92693794304654,340.81168239989177,0.00704010973380334,76.88474445684524,239.2258831226538,0.09282260432319686,-1.8185667000127572,-1.8185667000127572,11.930395810223935,1384.6936732558102,-211.05662192525756,-24.69710880239177,81.98771302904335,263.92693794304654,-29.816532451691018,38.6647512085092,145.65590487442748,1.8124783439773036,1384.6936732558102,0.9082592209857219,-0.35481308279329526
2022-02-24 12:20:00,66.71972474439647,15.845893509038438,0.11308450047969966,263.7086830798771,348.17900332774747,0.007173880291041849,84.4703202478704,244.61757586413722,0.09224662850525138,-1.9192800108250614,-1.9192800108250614,12.161286888978056,1429.2489853924985,-225.55007356983458,-12.954055390905163,22.975002250738225,263.7086830798771,-27.197129331001747,11.146822227541822,146.61213904647633,1.7995688401920165,1429.2489853924985,0.9088864121773713,-0.3470019844177024
