 r	t	p
   1.0000000000000000      	   1.8802585494429236      	  0.72001422324999897
   1.0000000000000000      	   1.8809127232407783      	  0.71947192207764765
   1.0000000000000000      	   1.8829021317467411      	  0.71795100762288255
   1.0000000000000000      	   1.8836395950907721      	  0.71744047987714465
   1.0000000000000000      	   1.8818939879602750      	  0.71872208396932080
   1.0000000000000000      	   1.8825643072293621      	  0.71822671974795294
   1.0000000000000000      	   1.8835208020872278      	  0.71755244773977811
   1.0000000000000000      	   1.8834145062436329      	  0.71763665341736749
   1.0000000000000000      	   1.8864350642370766      	  0.71566922360844343
   1.0000000000000000      	   1.8863203460365263      	  0.71574714503053627
   1.0000000000000000      	   1.8877895332708126      	  0.71488707995979661
   1.0000000000000000      	   1.8891151593547679      	  0.71411547844474654
   1.0000000000000000      	   1.8903978976922000      	  0.71336280329159174
   1.0000000000000000      	   1.8922507553989520      	  0.71224299815234982
   1.0000000000000000      	   1.8918696893610625      	  0.71248742849761304
   1.0000000000000000      	   1.8933427423880631      	  0.71158895946974654
   1.0000000000000000      	   1.8931276447577359      	  0.71173227268435668
   1.0000000000000000      	   1.8969762385458355      	  0.70922001908598831
   1.0000000000000000      	   1.8953580911389329      	  0.71032644350568519
   1.0000000000000000      	   1.8963263127189531      	  0.70968783713235095
   1.0000000000000000      	   1.8971087033674137      	  0.70915652265251028
   1.0000000000000000      	   1.8983588590376665      	  0.70827731797355431
   1.0000000000000000      	   1.8974117902416217      	  0.70896336347337674
   1.0000000000000000      	   1.8970313006864137      	  0.70924062547348488
   1.0000000000000000      	   1.8982711210479850      	  0.70837081794938883
   1.0000000000000000      	   1.8984528360087081      	  0.70824951766162314
   1.0000000000000000      	   1.8991339667976748      	  0.70775980072939992
   1.0000000000000000      	   1.8993498726394131      	  0.70760957832338967
   1.0000000000000000      	   1.9010778108491302      	  0.70630127850685531
   1.0000000000000000      	   1.8994111861379750      	  0.70758480652683520
   1.0000000000000000      	   1.9010546854636998      	  0.70634082814221433
   1.0000000000000000      	   1.9013614784517712      	  0.70611124776901224
   1.0000000000000000      	   1.9015176872920647      	  0.70599904493377630
   1.0000000000000000      	   1.9016376352611513      	  0.70591524664612071
   1.0000000000000000      	   1.9015734719730382      	  0.70597733416194874
   1.0000000000000000      	   1.9029878207675308      	  0.70485063413689775
   1.0000000000000000      	   1.9025034089160839      	  0.70525486109520474
   1.0000000000000000      	   1.9045188420235928      	  0.70360149623079338
   1.0000000000000000      	   1.9077508001972903      	  0.70073365322360393
   1.0000000000000000      	   1.9080958762488591      	  0.70042063259292686
   1.0000000000000000      	   1.9049157410234359      	  0.70329892172582786
   1.0000000000000000      	   1.9070904224915273      	  0.70138301608095266
   1.0000000000000000      	   1.9058467443670866      	  0.70251425672810952
   1.0000000000000000      	   1.9078409734936810      	  0.70071405381756935
   1.0000000000000000      	   1.9062636781180209      	  0.70218320085950259
   1.0000000000000000      	   1.9096779427619281      	  0.69892991138026062
   1.0000000000000000      	   1.9084476554556362      	  0.70019071990180048
   1.0000000000000000      	   1.9078305919244436      	  0.70079153438765418
   1.0000000000000000      	   1.9084610744252932      	  0.70020622633589558
   1.0000000000000000      	   1.9094797541985340      	  0.69919967400877603
   1.0000000000000000      	   1.9102215371719893      	  0.69841423718573248
   1.0000000000000000      	   1.9095516184275652      	  0.69915599057138267
   1.0000000000000000      	   1.9104136044927349      	  0.69823044414462154
   1.0000000000000000      	   1.9112210959345606      	  0.69729883250553126
   1.0000000000000000      	   1.9107395877397608      	  0.69788943613478327
   1.0000000000000000      	   1.9107576212067863      	  0.69788640587555739
   1.0000000000000000      	   1.9114401930398472      	  0.69708687996155860
   1.0000000000000000      	   1.9121643605737395      	  0.69617918468964268
   1.0000000000000000      	   1.9115651103552227      	  0.69697081300788577
   1.0000000000000000      	   1.9121340447964947      	  0.69626136665563632
   1.0000000000000000      	   1.9123423434998310      	  0.69599963575057522
   1.0000000000000000      	   1.9128467287281212      	  0.69528680128523046
   1.0000000000000000      	   1.9127846441984080      	  0.69540573767032798
   1.0000000000000000      	   1.9132754826409719      	  0.69464096741544812
   1.0000000000000000      	   1.9128453790794375      	  0.69536191503046607
   1.0000000000000000      	   1.9136937609635782      	  0.69394122584574114
   1.0000000000000000      	   1.9129818226977884      	  0.69520083968218549
   1.0000000000000000      	   1.9130579508933201      	  0.69510626090957917
   1.0000000000000000      	   1.9145521711990119      	  0.69193985394847390
   1.0000000000000000      	   1.9131072586888518      	  0.69508071233855717
   1.0000000000000000      	   1.9132737824220050      	  0.69483627741736032
   1.0000000000000000      	   1.9148848932635909      	  0.69041536629484113
   1.0000000000000000      	   1.9143682868737852      	  0.69270972003159670
   1.0000000000000000      	   1.9148205447174922      	  0.69108052631183292
