 r	t	p
   1.0000000000000000      	   1.1962387438976068      	   4.0263739102803147
   1.0000000000000000      	   1.1900036604657303      	   4.0528320789401642
   1.0000000000000000      	   1.1925206024638366      	   4.0406247586859054
   1.0000000000000000      	   1.1911984063518570      	   4.0460017315882970
   1.0000000000000000      	   1.1898041182471402      	   4.0542423647817492
   1.0000000000000000      	   1.1899214178356505      	   4.0534580031629668
   1.0000000000000000      	   1.1931251874217235      	   4.0383427807935188
   1.0000000000000000      	   1.1994018256471679      	   4.0136608181359179
   1.0000000000000000      	   1.1929848705402861      	   4.0388954560457231
   1.0000000000000000      	   1.1985930792686572      	   4.0169668649279116
   1.0000000000000000      	   1.1907047734800580      	   4.0483596511511104
   1.0000000000000000      	   1.1943211386830523      	   4.0338998331318914
   1.0000000000000000      	   1.1999810750953670      	   4.0116087375127334
   1.0000000000000000      	   1.1977635663668582      	   4.0203778297843726
   1.0000000000000000      	   1.1927340704200784      	   4.0399136191046319
   1.0000000000000000      	   1.1970660831365627      	   4.0232151017203934
   1.0000000000000000      	   1.1993386337833591      	   4.0140065001675707
   1.0000000000000000      	   1.1996899052625314      	   4.0126859534020705
   1.0000000000000000      	   1.2045175842596172      	   3.9979493082072546
   1.0000000000000000      	   1.2018600334459282      	   4.0057072505806737
   1.0000000000000000      	   1.2097431416446585      	   3.9831746302611464
   1.0000000000000000      	   1.2079645794475404      	   3.9881999005773419
   1.0000000000000000      	   1.2145810675853452      	   3.9700025595302812
   1.0000000000000000      	   1.2104353683568414      	   3.9812338061996679
   1.0000000000000000      	   1.2081503135071159      	   3.9877033357997549
   1.0000000000000000      	   1.2133435495690903      	   3.9732374895115834
   1.0000000000000000      	   1.2162165969870453      	   3.9658701128275791
   1.0000000000000000      	   1.2197554262930617      	   3.9570678127119203
   1.0000000000000000      	   1.2236161430121659      	   3.9477896677959547
   1.0000000000000000      	   1.2222646626027749      	   3.9510595348945290
   1.0000000000000000      	   1.2179400970810188      	   3.9615698162437432
   1.0000000000000000      	   1.2177545320304444      	   3.9620421485164004
   1.0000000000000000      	   1.2334644601468372      	   3.9234826277861004
   1.0000000000000000      	   1.2253954824863522      	   3.9434780812873789
   1.0000000000000000      	   1.2321170277036972      	   3.9269377755485380
   1.0000000000000000      	   1.2236297044301656      	   3.9478120275590589
   1.0000000000000000      	   1.2280754627129307      	   3.9369716316296848
   1.0000000000000000      	   1.2271368978304518      	   3.9392547285427284
   1.0000000000000000      	   1.2310676180984479      	   3.9296256746305525
   1.0000000000000000      	   1.2288605447342227      	   3.9350900710352805
   1.0000000000000000      	   1.2260282003231697      	   3.9419845405075757
   1.0000000000000000      	   1.2283271904610664      	   3.9364021573816990
   1.0000000000000000      	   1.2328970106404959      	   3.9250170910417554
   1.0000000000000000      	   1.2319590914190699      	   3.9274160639649507
   1.0000000000000000      	   1.2300072573262177      	   3.9323155542922894
   1.0000000000000000      	   1.2300872579878677      	   3.9321257161200904
   1.0000000000000000      	   1.2283056335213405      	   3.9364940888910560
   1.0000000000000000      	   1.2360250123272667      	   3.9170541710229911
   1.0000000000000000      	   1.2367066368438027      	   3.9153095870637573
   1.0000000000000000      	   1.2313180775075696      	   3.9290876538571409
   1.0000000000000000      	   1.2312838774466741      	   3.9291819897499445
   1.0000000000000000      	   1.2333066313236123      	   3.9240476974890655
   1.0000000000000000      	   1.2416910274219966      	   3.9025941642312603
   1.0000000000000000      	   1.2379745132538522      	   3.9120845532996764
   1.0000000000000000      	   1.2364724969744194      	   3.9159639555660477
   1.0000000000000000      	   1.2358300392485488      	   3.9176235230715921
   1.0000000000000000      	   1.2347534103097531      	   3.9203904503520715
   1.0000000000000000      	   1.2394281376439276      	   3.9083851887988148
   1.0000000000000000      	   1.2432459505676263      	   3.8986327803225769
   1.0000000000000000      	   1.2427499608028489      	   3.8999233074689941
   1.0000000000000000      	   1.2391306509317015      	   3.9091707562424198
   1.0000000000000000      	   1.2390160417387202      	   3.9094732374869858
   1.0000000000000000      	   1.2470762590000688      	   3.8891261988854016
   1.0000000000000000      	   1.2433660734722529      	   3.8983671890390910
   1.0000000000000000      	   1.2471539634727915      	   3.8889541485099013
   1.0000000000000000      	   1.2482346363257175      	   3.8863574698065531
   1.0000000000000000      	   1.2509650714394382      	   3.8800805279445432
   1.0000000000000000      	   1.2498248518189088      	   3.8826401171003710
   1.0000000000000000      	   1.2457491787315269      	   3.8924245437568095
   1.0000000000000000      	   1.2530361465629385      	   3.8755194647162519
   1.0000000000000000      	   1.2450417579296851      	   3.8941725200447603
   1.0000000000000000      	   1.2476696986904430      	   3.8877635666253552
   1.0000000000000000      	   1.2449871893193631      	   3.8943222373258219
   1.0000000000000000      	   1.2471789889289815      	   3.8889688753176430
   1.0000000000000000      	   1.2472505985940385      	   3.8888032923050346
   1.0000000000000000      	   1.2500797272327371      	   3.8821193004189158
   1.0000000000000000      	   1.2511865787636403      	   3.8796705307750501
   1.0000000000000000      	   1.2541592431375073      	   3.8730434181111071
   1.0000000000000000      	   1.2552705368433348      	   3.8704942615829880
   1.0000000000000000      	   1.2583476800358409      	   3.8628319764945318
   1.0000000000000000      	   1.2598783744952451      	   3.8588960315139040
   1.0000000000000000      	   1.2572391324288901      	   3.8656903962346174
   1.0000000000000000      	   1.2558551308777270      	   3.8691576922352851
   1.0000000000000000      	   1.2505839685843296      	   3.8810438521787716
   1.0000000000000000      	   1.2523141505238315      	   3.8772439146842892
