Time,Unnamed: 0,timestamps,lon,BrR2,Br,Bn,Bt,B,olon
2022-02-20 03:00:00,1511.5,1645331460.5662436,218.21315536222758,1.7039175742771862,3.7067832107558143,0.16509777639534884,-2.816695889383721,8.189954405076323,233.3048059949899
2022-02-20 06:00:00,1598.0,1645342272.9479191,216.25834513640316,1.0812352206816855,2.3627792571264368,2.427133550494253,-6.120379335287356,8.244536767513338,231.6228086254821
2022-02-20 09:00:00,1684.5,1645353085.3295345,215.56066446451794,2.8356801743586164,6.224555660581396,1.949711172906977,-0.15659993348837212,8.75944331769365,229.94136765403647
2022-02-20 12:00:00,1770.5,1645363835.211988,214.93439421714098,2.3626328798794356,5.203600258139535,0.6790519078488372,-5.320823039534884,8.588693326278223,228.27020544824134
2022-02-20 15:00:00,1857.0,1645374647.594218,212.7151308076223,-1.1982860573164986,-2.6484924218390806,0.430207398954023,-6.754343225287356,8.133472729484561,226.58989627297066
2022-02-20 18:00:00,1943.5,1645385459.9760344,213.80057022024698,2.6614051211731393,5.913876267441861,0.6249191081046511,-3.541604437837209,7.6186565897348375,224.91016280762088
2022-02-20 21:00:00,2030.0,1645396272.355172,212.60336801462677,1.2922615345754627,2.8767429843678163,-0.42745832868965516,-4.513039779252874,8.258209361751831,223.23101422769284
2022-02-21 00:00:00,2116.5,1645407084.732802,,0.9219471632961234,2.0723765015116276,-0.9866800613953489,-4.710421209534884,10.107073414027731,221.55245475267085
2022-02-21 03:00:00,2202.5,1645417834.6114292,217.16549997874301,3.5654543088800255,8.017977140697674,-0.6940623902906976,-2.519973617662791,9.46394403146714,219.88419002186993
2022-02-21 06:00:00,2289.0,1645428646.9896197,214.1289492738712,3.8627939819411035,8.72251283908046,-2.7580511301149424,-1.9769138138735631,9.845133720713699,218.20682841210473
2022-02-21 09:00:00,2375.5,1645439459.368895,210.166524364,3.3772271853224325,7.656167294883722,-4.684465638604651,0.8437546124418605,10.11439016624782,216.53007586770238
2022-02-21 12:00:00,2462.0,1645450271.7515283,206.70829482818948,2.9330374552017777,6.674315674712644,1.8387039057011494,-2.288255726551724,11.409593432393933,214.85394137055263
2022-02-21 15:00:00,2548.5,1645461084.1368017,197.3295513609955,3.34114795664728,7.642574341860465,6.611597894069767,-2.511907352906977,15.631023879348591,213.17842968695967
2022-02-21 18:00:00,2634.5,1645471834.0242202,198.7849072550271,5.171824871193133,11.871805726744187,-3.5142889547674416,-2.357030981860465,14.054023274069923,211.51322948501573
2022-02-21 21:00:00,2721.0,1645482646.4120798,197.6417372214913,4.29181776429014,9.893526698850575,-0.3004309500000001,-0.8436692843678161,12.05804704194142,209.83898522749897
2022-02-22 00:00:00,2807.5,1645493458.8008018,195.42911026998323,3.3973132136487356,7.864006171511628,-3.5516488617441864,0.554132803372093,11.043168426667672,208.1653856024471
2022-02-22 03:00:00,2894.0,1645504271.190172,193.50012324974213,2.836324167225295,6.59470871744186,-4.772024689941861,3.424012026627907,10.88857751077402,206.49244052054212
2022-02-22 06:00:00,2980.5,1645515083.5800579,192.57629712015475,,,,,,204.82015492776873
2022-02-22 09:00:00,3066.5,1645525833.470999,190.19087518276794,,,,,,203.15819888104096
2022-02-22 12:00:00,3153.0,1645536645.8617127,186.21643576125695,,,,,,201.4872549273712
2022-02-22 15:00:00,3239.5,1645547458.2529995,185.0517539187289,,,,,,199.81699325629452
2022-02-22 18:00:00,3326.0,1645558270.6450112,183.86553846115928,,,,,,198.14742430039922
2022-02-22 21:00:00,3412.5,1645569083.0377321,181.9824732689401,,,,,,196.4785532781934
2022-02-23 00:00:00,3498.5,,180.63671217219954,,,,,,
2022-02-23 03:00:00,3585.0,,180.39683272178868,,,,,,
2022-02-23 06:00:00,3671.5,,182.92154552120482,,,,,,
2022-02-23 09:00:00,3758.0,,184.1923420712881,,,,,,
2022-02-23 12:00:00,3844.5,,181.98285403780466,,,,,,
2022-02-23 15:00:00,3930.5,,179.25796316063247,,,,,,
2022-02-23 18:00:00,4017.0,,180.6551373514148,,,,,,
2022-02-23 21:00:00,4103.5,,179.56930257412765,,,,,,
2022-02-24 00:00:00,4190.0,1645666232.8233948,183.51902433153805,,,,,,181.51640183968382
2022-02-24 03:00:00,4276.5,1645676982.716046,181.06329069302376,,,,,,179.86457007168252
2022-02-24 06:00:00,4362.5,1645687732.608755,181.36255646969212,,,,,,178.21352151490302
2022-02-24 09:00:00,4449.0,1645698545.000839,181.0812932165612,,,,,,176.55367369387116
2022-02-24 12:00:00,4535.5,1645709357.3930578,177.32861469199975,,,,,,174.89463484081566
2022-02-24 15:00:00,4622.0,1645720169.7855628,173.82971697690027,,,,,,173.23641735983372
2022-02-24 18:00:00,4708.5,1645730982.1783018,175.93048435064603,,,,,,171.57902747690014
2022-02-24 21:00:00,4794.5,1645741732.0719764,177.9532516772716,4.253179575253756,10.898255273255813,-2.4598571041860464,-4.881717086046511,12.338356110863499,169.9320500896225
2022-02-25 00:00:00,4881.0,1645752544.4655278,176.59046919369234,3.5689273818256244,9.187272181034484,-4.063841103908046,-7.136979792988505,14.220650860257516,168.2763438709039
2022-02-25 03:00:00,4967.5,1645763356.859535,163.27461924964211,0.19387081236563367,0.4987876710465117,-0.8670298009302325,-4.207633030186046,15.429310555751375,166.62149396231868
2022-02-25 06:00:00,5054.0,1645774169.2539656,158.97912208212924,1.21425036328084,3.158938736781609,1.1607598964367816,2.767024533908046,12.440875511742579,164.96751354189044
